"cell_type","percent_high_expression","percent_medium_expression","percent_low_expression","percent_not_detected","number_of_proteins","tested_proteins","detected_proteins","staining_score","p_val","p_val_adj"
"BRONCHUS - respiratory epithelial cells",0.55,0.33,0.06,0.06,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","ADGB, ALOX15, ARMC3, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX",73,2.14112375791077e-23,1.58443158085397e-21
"FALLOPIAN TUBE - glandular cells",0.36,0.45,0.03,0.15,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","ADGB, ALOX15, ARMC3, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, RSPH1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX",59.25,5.46508556538815e-21,3.98951246273335e-19
"NASOPHARYNX - respiratory epithelial cells",0.33,0.36,0.06,0.18,31,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STOML3, TEKT1, TEKT2, VWA3B, ZBBX","ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SNTN, SPAG6, STOML3, TEKT1, TEKT2, VWA3B, ZBBX",52.5,1.82527088912762e-18,1.31419504017189e-16
"ENDOMETRIUM - glandular cells",0.03,0.11,0.3,0.56,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","ADGB, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH9, DNAI1, DYDC2, EFCAB1, MS4A8, MUC16, MUC5B, RSPH1, SNTN, STOML3, TEKT2, TEKT4",16,1.19459023658302e-17,8.48159067973945e-16
"CERVIX, UTERINE - glandular cells",0.09,0.06,0.12,0.67,31,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CDHR4, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","ADGB, BPIFB1, DYDC2, MS4A8, MUC16, MUC5B, RSPH1, STOML3, TEKT2",15,1.04324837556836e-05,0.000730273862897851
"GALLBLADDER - glandular cells",0.06,0.03,0.09,0.82,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","CCDC114, ERN2, GSTA1, MS4A8, MUC5B, TEKT2",9.75,0.623509231550091,1
"STOMACH - glandular cells",0.03,0.09,0.08,0.8,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","BPIFB1, CCDC114, ERN2, GSTA1, MS4A8, MUC5B, TEKT2, TEKT4",9.5,0.110938146322693,1
"COLON - glandular cells",0.06,0.03,0.06,0.85,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","CCDC114, ERN2, MS4A8, MUC5B, TEKT2",9,0.624978952766099,1
"DUODENUM - glandular cells",0.03,0.06,0.12,0.79,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","BPIFB1, CCDC114, ERN2, GSTA1, MS4A8, TEKT2, TEKT4",9,0.159892594775958,1
"RECTUM - glandular cells",0.06,0.03,0.06,0.85,33,"ADGB, ALOX15, ARMC3, BPIFA1, BPIFB1, CAPSL, CCDC114, CDHR4, DNAAF1, DNAH12, DNAH9, DNAI1, DNAI2, DYDC2, EFCAB1, ERN2, FAM183A, FAM92B, GSTA1, MS4A8, MUC16, MUC5B, RSPH1, SCGB1A1, SNTN, SPAG6, STMND1, STOML3, TEKT1, TEKT2, TEKT4, VWA3B, ZBBX","ERN2, MS4A8, MUC5B, TEKT2, TEKT4",9,0.624953417162431,1
